"milieu","taille","pauvre","sexecm","agecm","diplômcm","cmanalphabe","cmalphabe","cm_prim","cm_coll","cm_secon","cm_univ","occup_cm","emcm","cscm","typlog","nbpiece","stocp","deptot","region","coeffmen","ident","trmo","deppc"
1,5,2,1,44,3210,0,0,0,0,0,1,1,1,1,1,3,3,58422,1,1365,1,0,11684.400390625
1,6,2,1,48,NA,0,0,0,0,1,0,1,1,0,1,3,3,49860,1,1164.80004882812,2,0,8310
1,4,2,1,62,NA,0,0,0,1,0,0,0,1,1,1,4,3,83743,1,1365,3,0,20935.75
1,2,2,0,33,2120,0,0,0,0,1,0,0,0,0,1,3,1,148953,1,1589.90002441406,4,221,74476.5
1,2,2,1,34,NA,0,0,0,0,1,0,0,0,0,3,6,1,304798,1,1365,5,78,152399
1,2,2,0,34,1110,0,0,0,0,1,0,1,0,0,1,2,3,81946,1,1589.90002441406,6,195,40973
1,1,2,0,25,NA,0,0,0,1,0,0,0,0,0,1,2,3,132180,1,1365,7,221,132180
1,4,2,1,44,NA,0,0,0,0,1,0,1,1,0,1,3,3,27212,1,1224.59997558594,8,1300,6803
1,5,2,1,38,NA,0,0,0,0,0,1,1,1,1,1,3,3,113718,1,1449.5,9,4940,22743.599609375
1,3,2,0,50,NA,0,0,0,0,1,0,1,0,1,1,3,3,20060,1,1224.59997558594,10,0,6686.66650390625
1,6,2,1,43,NA,0,0,0,0,1,0,1,1,1,1,3,3,82644,1,1224.59997558594,11,260,13774
1,4,2,0,49,NA,1,0,0,0,0,0,0,0,1,1,3,1,87371,1,1224.59997558594,12,520,21842.75
1,5,2,1,63,1120,0,0,0,1,0,0,0,1,1,1,3,1,46646,1,1410.5,13,6500,9329.2001953125
1,5,2,1,46,NA,0,0,0,0,0,1,1,1,0,1,6,1,85227,1,1410.5,14,0,17045.400390625
1,3,2,1,42,NA,0,0,0,0,0,1,1,1,1,0,4,1,134790,1,1410.5,15,130,44930
1,7,2,1,60,1120,1,0,0,0,0,0,1,1,0,3,6,1,67547,1,1410.5,16,2210,9649.5712890625
1,5,2,1,56,NA,0,0,0,0,1,0,1,1,0,3,8,1,59881,1,1410.5,17,15860,11976.2001953125
1,2,2,1,37,4336,0,0,0,0,0,1,1,1,1,3,3,1,71742,1,1410.5,18,13078,35871
1,4,2,1,47,NA,1,0,0,0,0,0,1,1,0,3,2,3,45039,1,1118,19,9599.2001953125,11259.75
1,5,2,1,49,NA,0,0,0,1,0,0,1,1,0,3,2,3,134334,1,1054.30004882812,20,0,26866.80078125
1,4,2,0,39,1120,0,0,1,0,0,0,1,0,0,3,3,3,124769,1,1118,21,45.5,31192.25
1,7,2,1,42,3110,0,0,0,0,1,0,1,1,0,3,3,4,73014,1,1054.30004882812,22,650,10430.5712890625
1,4,2,1,59,NA,0,0,1,0,0,0,1,1,1,3,3,3,83784,1,1054.30004882812,23,0,20946
1,2,2,0,36,1120,0,0,0,0,0,1,1,0,1,3,3,3,143189,1,1054.30004882812,24,0,71594.5
1,6,2,1,61,NA,1,0,0,0,0,0,1,1,0,3,3,3,76879,1,890.5,25,195,12813.1669921875
1,2,2,1,76,NA,1,0,0,0,0,0,0,1,0,3,3,1,129862,1,1054.30004882812,26,221,64931
1,4,2,0,57,NA,1,0,0,0,0,0,0,0,0,3,3,1,54618,1,1027,27,130,13654.5
1,6,2,1,76,NA,1,0,0,0,0,0,0,1,0,3,3,2,57884,1,1027,28,4875,9647.3330078125
1,8,2,1,72,NA,0,1,0,0,0,0,0,1,0,3,6,1,50973,1,890.5,29,0,6371.625
1,6,2,1,60,NA,0,0,1,0,0,0,1,1,0,3,6,1,37654,1,1118,30,1950,6275.66650390625
1,7,2,1,52,1120,0,1,0,0,0,0,1,1,1,3,6,1,73280,1,1296.09997558594,31,0,10468.5712890625
1,16,2,1,64,NA,0,1,0,0,0,0,1,1,0,3,7,1,33463,1,1106.30004882812,32,0,2091.4375
1,10,2,1,68,NA,1,0,0,0,0,0,0,1,0,3,6,1,108876,1,1106.30004882812,33,221,10887.599609375
1,6,2,1,68,2115,1,0,0,0,0,0,0,1,0,3,5,1,45711,1,1106.30004882812,34,1300,7618.5
1,2,2,1,88,NA,0,1,0,0,0,0,0,1,0,3,2,1,70334,1,1106.30004882812,35,0,35167
1,8,2,1,47,1120,0,0,0,0,1,0,1,1,1,3,6,1,186445,1,1510.59997558594,36,260,23305.625
1,1,2,1,38,NA,1,0,0,0,0,0,0,0,0,3,1,3,168716,1,1296.09997558594,37,390,168716
1,8,2,1,71,NA,1,0,0,0,0,0,1,1,0,3,3,1,152301,1,1296.09997558594,38,2340,19037.625
1,8,2,1,45,NA,0,0,1,0,0,0,1,1,1,3,3,1,37496,1,1501.5,39,130,4687
1,4,2,1,32,2112,0,0,0,1,0,0,1,1,0,3,5,1,101363,1,1296.09997558594,40,130,25340.75
1,6,2,1,70,NA,1,0,0,0,0,0,1,1,0,3,8,1,121066,1,1296.09997558594,41,65,20177.666015625
1,1,2,0,50,NA,1,0,0,0,0,0,0,0,0,3,3,7,103013,1,1510.59997558594,42,156,103013
1,3,2,1,40,NA,0,0,0,0,1,0,1,1,0,3,2,3,97231,1,1562.59997558594,43,0,32410.333984375
1,4,2,1,47,NA,0,0,0,1,0,0,1,0,1,3,3,3,66591,1,1573,44,455,16647.75
1,7,2,1,41,NA,0,0,1,0,0,0,1,1,1,3,3,7,81326,1,1350.69995117188,45,65,11618
1,6,2,1,41,NA,0,0,1,0,0,0,0,1,0,3,4,3,157688,1,1562.59997558594,46,0,26281.333984375
1,6,2,1,69,NA,0,1,0,0,0,0,0,1,0,3,4,3,36718,1,1573,47,260,6119.66650390625
1,5,2,0,56,NA,1,0,0,0,0,0,1,0,0,3,3,3,102959,1,1350.69995117188,48,104,20591.80078125
1,3,2,1,38,NA,0,0,0,1,0,0,1,1,0,3,1,3,52219,1,1573,49,2600,17406.333984375
1,19,2,1,60,1120,1,0,0,0,0,0,0,1,0,3,6,1,233073,1,1350.69995117188,50,0,12267
1,2,2,1,24,4330,0,0,0,1,0,0,1,1,0,3,1,3,84247,1,1573,51,260,42123.5
1,7,2,1,35,NA,0,0,1,0,0,0,1,1,0,3,6,1,32795,1,1350.69995117188,52,0,4685
1,3,2,0,30,1110,0,0,0,0,0,1,1,0,0,3,3,1,50945,1,1350.69995117188,53,9295,16981.666015625
1,3,2,0,75,NA,1,0,0,0,0,0,0,0,0,3,3,1,42076,1,1350.69995117188,54,3315,14025.3330078125
1,8,2,1,44,3121,0,0,1,0,0,0,1,1,0,3,5,1,61104,1,1298.69995117188,55,2028,7638
1,5,2,1,45,1120,0,0,1,0,0,0,1,1,1,3,3,1,176650,1,1536.59997558594,56,3900,35330
1,8,2,1,52,1120,0,1,0,0,0,0,1,1,0,3,3,1,69839,1,1298.69995117188,57,65,8729.875
1,3,2,1,33,1110,1,0,0,0,0,0,1,1,0,3,3,1,73912,1,1562.59997558594,58,0,24637.333984375
1,1,2,1,44,1120,0,0,1,0,0,0,1,0,0,8,1,1,8701,1,1573,59,0,8701
1,6,2,1,42,NA,1,0,0,0,0,0,1,1,0,5,2,3,30213,1,1350.69995117188,60,3575,5035.5
1,3,1,1,39,NA,0,0,0,0,1,0,1,1,1,0,3,3,14551,1,1562.59997558594,61,195,4850.33349609375
1,6,2,1,45,NA,0,0,0,1,0,0,1,1,1,0,3,3,9598,1,1151.80004882812,62,182,1599.66662597656
1,6,2,1,63,1120,1,0,0,0,0,0,1,1,0,3,6,1,107609,1,1151.80004882812,63,416,17934.833984375
1,2,2,1,66,NA,1,0,0,0,0,0,0,1,0,2,2,1,47747,1,1573,64,65,23873.5
1,8,1,1,40,NA,0,0,1,0,0,0,0,1,0,2,3,1,20344,1,1350.69995117188,65,2600,2543
1,7,2,1,68,NA,0,0,1,0,0,0,1,1,0,8,7,1,45227,1,1151.80004882812,66,0,6461
1,9,2,1,56,NA,0,0,1,0,0,0,1,1,0,3,4,1,28385,1,1151.80004882812,67,0,3153.88891601562
1,2,2,1,43,NA,0,1,0,0,0,0,0,0,0,3,3,1,69375,1,1019.20001220703,68,0,34687.5
1,15,2,1,55,NA,0,0,1,0,0,0,1,1,0,3,7,1,47792,1,1019.20001220703,69,4322.5,3186.13330078125
1,7,2,1,30,NA,1,0,0,0,0,0,1,1,0,3,6,1,82286,1,1536.59997558594,70,2340,11755.142578125
1,6,2,1,55,1110,1,0,0,0,0,0,1,1,0,3,4,1,42068,1,1298.69995117188,71,15600,7011.33349609375
1,7,2,1,39,NA,1,0,0,0,0,0,1,1,0,5,3,1,51106,1,1536.59997558594,72,390,7300.85693359375
1,8,2,1,50,NA,1,0,0,0,0,0,1,1,0,3,2,1,55395,1,1497.59997558594,73,1222,6924.375
1,12,2,0,64,NA,1,0,0,0,0,0,0,0,0,3,9,1,19053,1,1536.59997558594,74,0,1587.75
1,4,2,1,40,NA,1,0,0,0,0,0,1,1,0,3,4,6,110054,1,1298.69995117188,75,1365,27513.5
1,5,2,1,32,NA,1,0,0,0,0,0,1,1,1,3,2,1,19976,1,1631.5,76,0,3995.19995117188
1,4,2,1,54,NA,1,0,0,0,0,0,1,1,0,3,2,1,36988,1,1497.59997558594,77,0,9247
1,2,2,1,99,NA,1,0,0,0,0,0,0,1,0,2,1,1,134807,1,1536.59997558594,78,13000,67403.5
1,7,1,1,36,NA,0,0,0,1,0,0,1,1,0,3,4,1,7862,1,1359.80004882812,79,0,1123.14282226562
1,7,2,1,55,NA,1,0,0,0,0,0,1,1,0,5,3,1,25478,1,1168.69995117188,80,0,3639.71435546875
1,6,2,1,46,NA,0,0,1,0,0,0,1,1,0,3,3,1,42781,1,1168.69995117188,81,0,7130.16650390625
1,5,2,1,39,NA,1,0,0,0,0,0,1,1,0,3,3,1,51654,1,994.5,82,0,10330.7998046875
1,7,2,1,42,NA,1,0,0,0,0,0,1,1,0,3,3,1,33438,1,994.5,83,1729,4776.85693359375
1,5,2,1,37,NA,0,0,1,0,0,0,1,1,0,3,3,1,51677,1,1168.69995117188,84,0,10335.400390625
1,1,2,1,18,NA,0,0,1,0,0,0,1,0,0,3,3,7,81532,1,1359.80004882812,85,5200,81532
1,1,2,1,36,1110,0,1,0,0,0,0,0,1,0,3,1,7,20125,1,994.5,86,32500,20125
1,6,2,1,27,NA,1,0,0,0,0,0,1,1,0,3,2,1,115251,1,994.5,87,91000,19208.5
1,2,2,1,24,1110,0,0,1,0,0,0,1,0,0,4,1,3,80255,1,1359.80004882812,88,611,40127.5
1,6,2,0,38,NA,1,0,0,0,0,0,0,1,1,3,3,1,49470,1,1359.80004882812,89,117,8245
1,2,2,1,76,NA,1,0,0,0,0,0,0,1,0,3,7,1,12650,1,1168.69995117188,90,0,6325
1,3,2,1,72,NA,1,0,0,0,0,0,1,1,0,3,4,1,24754,1,2637.69995117188,91,52,8251.3330078125
1,6,2,1,37,NA,1,0,0,0,0,0,1,1,0,3,3,1,38682,1,2568.80004882812,92,0,6447
1,3,2,1,42,NA,1,0,0,0,0,0,1,1,0,3,2,7,111145,1,2568.80004882812,93,0,37048.33203125
1,5,2,1,32,NA,0,0,0,0,1,0,1,1,1,1,2,3,91063,1,2228.19995117188,94,28.6000003814697,18212.599609375
1,3,2,1,33,1110,0,0,0,0,0,1,1,1,0,1,2,3,23943,1,2568.80004882812,95,0,7981
1,6,2,1,50,NA,0,0,1,0,0,0,1,1,0,3,3,1,59174,1,2637.69995117188,96,8625.5,9862.3330078125
1,3,2,1,35,NA,0,0,0,0,1,0,1,1,1,1,2,3,30826,1,2637.69995117188,97,286,10275.3330078125
1,7,2,1,46,NA,0,0,0,1,0,0,1,1,1,1,2,3,23922,1,2568.80004882812,98,1118,3417.42846679688
1,3,2,1,39,NA,0,0,0,0,1,0,1,1,1,1,3,3,122838,1,2798.89990234375,99,0,40946
1,4,2,1,41,1120,0,0,0,0,1,0,1,1,0,3,3,3,94349,1,2876.89990234375,100,0,23587.25
1,1,2,1,34,NA,0,0,0,0,0,1,0,0,0,1,2,3,20084,1,2798.89990234375,101,0,20084
1,4,2,1,35,NA,0,0,0,1,0,0,1,1,1,1,3,3,33899,1,2798.89990234375,102,26,8474.75
1,7,2,1,38,1110,1,0,0,0,0,0,1,1,0,3,2,7,14631,1,1216.80004882812,103,0,2090.14282226562
1,5,2,1,46,NA,0,0,0,1,0,0,1,1,1,1,3,3,33825,1,1216.80004882812,104,0,6765
1,4,2,1,58,NA,0,0,0,0,0,1,1,1,1,3,3,3,45590,1,1417,105,2405,11397.5
1,6,2,1,49,NA,0,1,0,0,0,0,1,1,0,3,4,1,39224,1,1417,106,780,6537.33349609375
1,3,2,1,80,NA,1,0,0,0,0,0,0,0,0,3,2,1,24415,1,1417,107,23400,8138.33349609375
1,7,2,1,80,NA,1,0,0,0,0,0,0,1,0,3,4,1,28130,1,1216.80004882812,108,1300,4018.57153320312
1,9,2,1,51,5729,0,1,0,0,0,0,1,1,0,3,4,1,55900,1,1417,109,8580,6211.111328125
1,4,2,0,37,NA,1,0,0,0,0,0,1,1,1,3,2,1,56207,1,1417,110,3900,14051.75
1,3,2,1,41,1120,0,1,0,0,0,0,1,1,0,3,2,1,11855,1,1216.80004882812,111,0,3951.66674804688
1,7,2,1,69,NA,1,0,0,0,0,0,0,1,0,3,4,1,28247,1,1216.80004882812,112,0,4035.28564453125
1,4,2,0,54,1110,1,0,0,0,0,0,1,0,0,3,3,1,53133,1,1036.09997558594,113,1300,13283.25
1,7,2,1,40,NA,0,0,1,0,0,0,1,1,0,3,3,1,71358,1,1216.80004882812,114,10400,10194
1,7,2,1,28,NA,0,0,1,0,0,0,1,1,0,3,3,1,59747,1,1384.5,115,52,8535.2861328125
1,12,2,1,54,NA,0,0,1,0,0,0,0,1,0,3,3,3,18741,1,1014,116,78,1561.75
1,11,1,1,68,NA,1,0,0,0,0,0,1,1,1,3,6,1,154212,1,1376.69995117188,117,0,14019.2724609375
1,5,2,1,36,NA,1,0,0,0,0,0,1,1,0,3,2,7,98583,1,1384.5,118,29250,19716.599609375
1,4,1,1,29,NA,1,0,0,0,0,0,1,1,0,3,2,1,44196,1,1189.5,119,48165,11049
1,10,2,1,27,NA,0,0,1,0,0,0,1,1,0,3,4,1,75985,1,1189.5,120,0,7598.5
